sperm_id,VSL (μm/s),VCL (μm/s),VAP (μm/s),ALH (μm),LIN (%),STR (%),BCF (Hz)
ID_0_Normal Sperm,0.0,5.005561735261402,1.8553948832035643,0.8000000000000114,0.0,0.0,0.0
ID_1_Normal Sperm,0.0,3.05862694937127,1.4480793954292008,0.8944271909999032,0.0,0.0,3.2703003337041157
ID_2_Normal Sperm,2.6897876571372596,6.370394714236208,4.105279072780807,0.8944271909999286,42.22324954411804,65.52021456887873,7.6751946607341495
ID_3_Normal Sperm,0.13758973166688523,3.567280142489822,1.8030823765417505,1.1661903789690717,3.8569926154118352,7.630806748318264,4.204671857619577
ID_4_Normal Sperm,1.7403877388750122,5.641971117192397,3.22544626277335,1.0000000000000056,30.847157894368628,53.95804478164106,6.5739710789766415
ID_5_Normal Sperm,0.03337041156840934,1.9021134593993327,0.8075639599554982,0.8000000000000114,1.7543859649122806,4.132231404958718,3.5038932146829813
ID_6_Normal Sperm,0.9450368581872945,5.391201863829947,3.2395793300534197,1.1313708498984922,17.529242682000667,29.171591799596747,6.440489432703004
ID_7_Normal Sperm,1.731728241868181,7.9654666788599,4.09650422358394,1.280624847486577,21.740449262867845,42.27331762282746,8.008898776418244
ID_8_Normal Sperm,0.0,1.4682981090100111,0.4170974001651572,0.8246211251235405,0.0,0.0,0.7007786429365963
ID_9_Normal Sperm,0.5613510639352153,10.174031094494334,3.463971260291402,1.7088007490635355,5.517489171415938,16.20541920685544,6.213017751479289
ID_10_Normal Sperm,0.9672829648718114,6.544405466028032,4.67632244201178,2.952964612046703,14.780303113750687,20.684693514326632,4.681528662420382
ID_11_Normal Sperm,0.03337041156840934,7.3991520153957016,2.600683298498189,1.0000000000000056,0.4510031892705304,1.2831401496552728,7.875417130144606
ID_12_Normal Sperm,12.621689092548438,33.261891755173735,26.895852518348452,3.2310988842807027,37.946395789665786,46.928012725894725,8.621495327102803
ID_13_Normal Sperm,2.0765798841371663,4.69245275632808,3.027055628522334,0.8944271909999063,44.25361302437755,68.60065155627333,4.086826347305389
ID_14_Normal Sperm,0.6418926828143942,5.8111947371656605,3.0246639243539586,1.0770329614268923,11.045795431861048,21.221950566011948,6.10678531701891
ID_15_Normal Sperm,0.03337041156840934,4.505005561735262,2.1589673951562065,0.82462112512353,0.7407407407407407,1.5456653788879897,1.5684093437152393
ID_16_Normal Sperm,0.7682445672895221,5.671768299405706,2.5665543742537302,1.649242250247081,13.545062610720885,29.93291609155572,5.172413793103448
ID_17_Normal Sperm,0.407337784729712,5.035578251499834,2.394275704156642,0.8944271909999286,8.089195806030567,17.012985765279375,5.806451612903226
ID_18_Normal Sperm,2.1785162916109804,5.598800010729987,4.183750649650108,1.7204650534085069,38.91041450732117,52.0708922218673,3.248847926267281
ID_19_Normal Sperm,0.35941033195558425,4.295703739533632,1.7204114565014084,0.9999999999999772,8.366739275986571,20.89095202181886,2.436040044493882
ID_20_Normal Sperm,0.047192888622016524,3.4118789995701655,1.573741867896933,0.8944271909999159,1.383193502113116,2.9987693397953916,3.437152391546163
ID_21_Normal Sperm,0.3730925435205434,5.3916420905780305,2.713713113184454,2.3323807579381435,6.9198314215353385,13.748415103567504,4.838709677419355
ID_22_Normal Sperm,4.464334163076155,25.511566049891726,18.962373819790457,5.374838498865701,17.499255648773087,23.543118627989838,10.762886597938143
ID_23_Normal Sperm,4.6542692468552165,10.98186147075719,6.657267700500414,1.280624847486577,42.381423761797905,69.91260463366021,12.666666666666666
ID_24_Normal Sperm,0.1887715544880661,4.3934434121076436,1.7708097745211961,0.848528137423869,4.296665207245897,10.660182544966325,3.437152391546163
ID_25_Normal Sperm,2.863251319570096,6.690276352866694,4.421353503074729,1.0198039027185575,42.79720550472076,64.75961077482073,8.809788654060068
